user_id,book_length_min_overall,book_length_min_avg,price_overall,price_avg,review,review10_10,completion,minutes_listened,support_request,last_visited_mins_purchase_date,target
994,1620,1620,19.73,19.73,yes,10,0.99,1603.8,5,92,no
1143,2160,2160,5.33,5.33,no,8.91,0,0,0,0,no
2059,2160,2160,5.33,5.33,no,8.91,0,0,0,388,no
2882,1620,1620,5.96,5.96,no,8.91,0.42,680.4,1,129,no
3342,2160,2160,5.33,5.33,no,8.91,0.22,475.2,0,361,no
3416,2160,2160,4.61,4.61,no,8.91,0,0,0,0,no
4949,2160,2160,5.33,5.33,no,8.91,0.04,86.4,0,366,no
9011,648,648,5.33,5.33,no,8.91,0,0,0,0,yes
9282,2160,2160,5.33,5.33,no,8.91,0.26,561.6,0,33,no
10500,2160,2160,5.33,5.33,yes,10,0.27,583.2,0,366,no
12898,540,540,5.33,5.33,no,8.91,0.28,151.2,0,34,no
16370,2160,2160,5.33,5.33,no,8.91,0,0,0,0,yes
16587,2160,2160,13.33,13.33,no,8.91,0.6,1296,0,98,no
18065,648,648,50.66,50.66,no,8.91,0,0,0,0,no
19313,2160,2160,7.03,7.03,no,8.91,0,0,0,0,no
19996,594,1188,29.33,58.67,no,10,0,0,0,0,yes
20124,2160,2160,5.33,5.33,no,8.91,0,0,0,29,no
23153,1620,1620,11.68,11.68,yes,8,0.71,1150.2,1,25,no
23372,2160,2160,5.33,5.33,no,8.91,0,0,0,1,no
23757,2160,2160,5.33,5.33,no,8.91,0,0,0,9,no
24187,1620,1620,14.29,14.29,yes,7,0.43,696.6,0,66,no
25850,1620,1620,5.33,5.33,no,8.91,0.08,129.6,0,342,no
27030,1188,4752,6,23.99,no,10,0,0,0,176,yes
27703,1620,1620,5.33,5.33,no,8.91,0,0,0,0,no
29095,1404,2808,27.99,55.99,no,8.91,0,0,0,0,yes
31062,2160,2160,5.33,5.33,no,8.91,0.6,1296,0,228,no
33068,2160,2160,5.96,5.96,no,8.91,0,0,0,0,no
3330,1620,1620,16.99,16.99,no,8.91,0.33,534.6,0,364,no
3699,2160,2160,5.33,5.33,no,8.91,0,0,0,1,yes
4943,2160,2160,5.33,5.33,no,8.91,0,0,0,0,no
5790,2160,2160,11.68,11.68,no,8.91,0,0,0,0,no
5829,1620,1620,6.11,6.11,no,8.91,0.12,194.4,0,8,no
7053,2160,2160,5.33,5.33,no,8.91,0,0,0,0,no
13555,2160,2160,12.8,12.8,yes,8,0.19,410.4,0,1,no
14162,2160,2160,5.33,5.33,no,8.91,0.04,86.4,0,211,no
14292,2160,2160,5.33,5.33,no,8.91,0,0,0,0,no
17021,2160,2160,5.33,5.33,yes,10,0.23,496.8,0,186,no
20156,2160,2160,5.33,5.33,no,8.91,0,0,0,0,no
20919,2160,2160,5.33,5.33,yes,10,0.45,972,0,158,no
20998,2160,2160,5.33,5.33,no,8.91,0,0,0,0,no
24221,2160,2160,5.33,5.33,no,8.91,0.05,108,0,14,no
25167,2160,2160,5.33,5.33,no,8.91,0.07,151.2,0,149,no
25991,2160,2160,5.33,5.33,no,8.91,0.37,799.2,0,387,no
27323,2160,2160,4.1,4.1,no,8.91,0,0,0,39,no
28685,1620,1620,6.04,6.04,no,8.91,0.64,1036.8,1,7,no
4481,2160,2160,5.33,5.33,no,8.91,0.08,172.8,0,344,no
4722,1332,3996,5.33,15.99,no,8.91,0,0,0,86,yes
10753,2160,2160,11.35,11.35,no,8.91,0.1,216,0,323,no
12413,756,1512,8.73,17.47,no,8.91,0,0,0,0,yes
13440,1620,1620,5.33,5.33,no,8.91,0.68,1101.6,0,371,no
14255,2160,2160,5.33,5.33,no,8.91,0,0,0,0,no
15384,1620,1620,9.77,9.77,yes,9,0.78,1263.6,0,383,no
17321,1404,2808,11.35,22.7,no,10,0,0,0,209,yes
18755,2160,2160,10.98,10.98,no,8.91,0,0,0,351,yes
21533,648,648,10.13,10.13,no,8.91,0,0,0,313,no
22234,2160,2160,5.33,5.33,no,8.91,0,0,0,0,no
28285,2160,2160,5.33,5.33,no,8.91,0,0,0,0,no
29567,1620,1620,5.33,5.33,no,8.91,0,0,0,0,no
31263,2160,2160,5.33,5.33,no,8.91,0.03,64.8,0,12,no
31659,1620,1620,5.33,5.33,no,8.91,0,0,0,97,no
31982,2160,2160,5.33,5.33,yes,10,0,0,0,266,yes
3579,2160,2160,5.33,5.33,no,8.91,0,0,0,4,no
7585,2160,2160,9.77,9.77,no,8.91,0,0,0,0,no
8000,2160,2160,5.33,5.33,no,8.91,0,0,0,314,no
9829,1620,1620,5.33,5.33,no,8.91,0.06,97.2,0,273,no
11551,648,648,50.66,50.66,no,8.91,0.77,498.96,0,23,no
14333,2160,2160,10.98,10.98,yes,9,0,0,0,136,yes
19754,1620,1620,5.33,5.33,no,8.91,0,0,0,0,no
22381,2160,2160,5.33,5.33,no,8.91,0,0,0,0,no
23676,2160,2160,5.33,5.33,yes,8,0.66,1425.6,0,379,no
31372,2160,2160,5.33,5.33,yes,5,0.18,388.8,0,69,no
508,1080,1080,10.13,10.13,yes,9,0.85,918,1,81,no
6123,324,324,10.13,10.13,yes,9,0.72,233.28,0,0,no
