endTime,artistName,trackName,msPlayed,,,,,,,,,,,
8/19/2019 9:30,Lorentz,När allt det här är över,422192,,,,,,,,,,,
8/19/2019 9:34,Miriam Bryant,Du Med Dig,195133,,,,,,,,,,,
8/19/2019 9:49,Frank Ocean,Pyramids,582765,,,,,,,,,,,
8/19/2019 9:54,Frank Ocean,Ivy,1681,,,,,,,,,,,
8/19/2019 9:54,Lorentz,När allt det här är över,267045,,,,,,,,,,,
8/19/2019 10:00,Håkan Hellström,En midsommarnattsdröm,390490,,,,,,,,,,,
8/19/2019 10:06,Håkan Hellström,Försent för Edelweiss,326555,,,,,,,,,,,
8/19/2019 10:07,Håkan Hellström,Gårdakvarnar och skit,70826,,,,,,,,,,,
8/19/2019 10:12,Markus Krunegård,Jag är en vampyr,316202,,,,,,,,,,,
8/19/2019 10:12,Håkan Hellström,Gårdakvarnar och skit,2325,,,,,,,,,,,
8/19/2019 10:13,Håkan Hellström,Du kan gå din egen väg,61760,,,,,,,,,,,
8/19/2019 10:38,Lorentz,Schnip schnip,230266,,,,,,,,,,,
8/19/2019 10:38,Marie Davidson,Chasing The Light,2111,,,,,,,,,,,
8/19/2019 10:38,DJ T.,Nomads,4416,,,,,,,,,,,
8/19/2019 10:38,Lorentz,"Där dit vinden kommer (feat. Jaqe, Duvchi, jj & Joy)",3903,,,,,,,,,,,
8/19/2019 10:38,Lorentz,The.OC.S01E01.DVD-Rip.Xvid (feat. Say Lou Lou),8401,,,,,,,,,,,
8/19/2019 10:42,Kylie Minogue,Step Back in Time - Mousse T's E-Funk,220970,,,,,,,,,,,
8/19/2019 10:43,Marie Davidson,Chasing The Light,59007,,,,,,,,,,,
8/19/2019 10:47,Ross from Friends,Project Cybersyn,3711,,,,,,,,,,,
8/19/2019 10:47,Jimi Tenor,Jori's House,1450,,,,,,,,,,,
8/19/2019 10:47,Marie Davidson,Chasing The Light,11157,,,,,,,,,,,
8/19/2019 10:47,Ross from Friends,John Cage,618,,,,,,,,,,,
8/19/2019 10:47,Jimi Tenor,Are We It? (Alone In The Universe),2645,,,,,,,,,,,
8/19/2019 10:47,Krawall,Try This Demo,148074,,,,,,,,,,,
8/19/2019 10:54,Ross from Friends,Talk to Me You'll Understand,308437,,,,,,,,,,,
8/19/2019 10:56,Ross from Friends,Thank God I'm A Lizard,93781,,,,,,,,,,,
8/19/2019 11:00,Llojd,Fejka Det För Ikväll,223844,,,,,,,,,,,
8/19/2019 11:04,Llojd,V.22,276324,,,,,,,,,,,
8/19/2019 11:05,Llojd,Om vi faller,24826,,,,,,,,,,,
8/19/2019 11:05,Llojd,Jag kommer älska mitt liv snart,5461,,,,,,,,,,,
8/19/2019 11:07,Jme,Man Don't Care,102570,,,,,,,,,,,
8/19/2019 11:13,Ison & Fille,Stationen,372136,,,,,,,,,,,
8/19/2019 11:13,Dree Low,Santa Lucia,7338,,,,,,,,,,,
8/19/2019 11:13,Sebastian Stakset,Mamma förlåt,896,,,,,,,,,,,
8/19/2019 11:13,Erik Lundin,Annie Lööf,27263,,,,,,,,,,,
8/19/2019 11:14,Einár,Min Nivå,9343,,,,,,,,,,,
8/19/2019 11:17,Ant Wan,Mama,133141,,,,,,,,,,,
8/19/2019 11:17,Legrand Bemba-Debert - Fatoumata Diawara,Voici mon village,15338,,,,,,,,,,,
8/19/2019 11:24,Ant Wan,Mama,367018,,,,,,,,,,,
8/19/2019 11:24,Jme,Man Don't Care,1408,,,,,,,,,,,
8/19/2019 11:26,Legrand Bemba-Debert - Fatoumata Diawara,Voici mon village,145002,,,,,,,,,,,
8/19/2019 11:33,Ant Wan,Mama,420867,,,,,,,,,,,
8/19/2019 11:34,Jme,Man Don't Care,38280,,,,,,,,,,,
8/19/2019 11:42,Ol' Dirty Bastard,Harlem World,1536,,,,,,,,,,,
8/19/2019 11:42,JAY1,Your Mrs,158634,,,,,,,,,,,
8/19/2019 12:08,Looptroop Rockers,Reclaim the City,203477,,,,,,,,,,,
8/19/2019 12:11,Ant Wan,Mama,198890,,,,,,,,,,,
8/19/2019 12:11,Julio Bashmore,Au Seve,1621,,,,,,,,,,,
8/19/2019 12:14,SBTRKT,Hold On,206600,,,,,,,,,,,
8/19/2019 12:19,KAYTRANADA,GLOWED UP,298026,,,,,,,,,,,
8/19/2019 12:23,Flume,Quits,231988,,,,,,,,,,,
8/19/2019 12:25,AlunaGeorge,You Know You Like It - Bondax Remix,2133,,,,,,,,,,,
8/19/2019 12:25,Disclosure,What's In Your Head,2496,,,,,,,,,,,
8/19/2019 12:25,Shadow Child,23,97276,,,,,,,,,,,
8/19/2019 12:25,Dusky,Careless,2240,,,,,,,,,,,
8/19/2019 12:28,SBTRKT,Right Thing to Do,202573,,,,,,,,,,,
8/19/2019 12:33,SBTRKT,Trials of the Past,264120,,,,,,,,,,,
8/19/2019 12:37,SBTRKT,Never Never,237013,,,,,,,,,,,
8/19/2019 12:41,Disclosure,You & Me - Baauer Remix,242056,,,,,,,,,,,
8/19/2019 12:46,Disclosure,When A Fire Starts To Burn,283705,,,,,,,,,,,
8/19/2019 12:56,Disclosure,Control,283039,,,,,,,,,,,
8/19/2019 12:58,Last Japan,Float,164949,,,,,,,,,,,
8/19/2019 13:01,Flume,Quits,152036,,,,,,,,,,,
8/19/2019 13:04,Stormzy,Vossi Bop,167932,,,,,,,,,,,
8/19/2019 18:54,BOg,Her Song,441929,,,,,,,,,,,
8/19/2019 19:07,Huxley,Made Up My Mind - Extended Mix,276162,,,,,,,,,,,
8/19/2019 19:11,Ant Wan,Mama,209411,,,,,,,,,,,
8/19/2019 19:13,Blanco,Salomon Rondon,117582,,,,,,,,,,,
8/19/2019 19:14,Legrand Bemba-Debert - Fatoumata Diawara,Voici mon village,99234,,,,,,,,,,,
8/20/2019 6:45,JAY1,Your Mrs,23466,,,,,,,,,,,
8/20/2019 6:53,Ant Wan,Mama,482666,,,,,,,,,,,
8/20/2019 6:56,Kylie Minogue,Step Back in Time - Mousse T's E-Funk,181055,,,,,,,,,,,
8/20/2019 14:00,Ant Wan,Mama,358233,,,,,,,,,,,
8/20/2019 14:03,Jme,Man Don't Care,195122,,,,,,,,,,,
8/20/2019 16:11,Headie One,Both,213586,,,,,,,,,,,
8/20/2019 16:14,Ant Wan,Mama,209411,,,,,,,,,,,
8/20/2019 16:19,Looptroop Rockers,Fever,302280,,,,,,,,,,,
8/20/2019 16:21,JAY1,Your Mrs,128319,,,,,,,,,,,
8/20/2019 18:33,Kollektiv Turmstrasse,Sorry I Am Late - Extended,373877,,,,,,,,,,,
8/20/2019 18:46,Kollektiv Turmstrasse,Lüchttoorn,0,,,,,,,,,,,
8/20/2019 18:46,Kollektiv Turmstrasse,Last Day - David August Revision,229568,,,,,,,,,,,
8/20/2019 18:46,Kollektiv Turmstrasse,Sorry I Am Late - Extended,0,,,,,,,,,,,
8/20/2019 18:52,Kollektiv Turmstrasse,Lüchttoorn,296714,,,,,,,,,,,
8/20/2019 18:53,Kollektiv Turmstrasse,Lüchttoorn,5002,,,,,,,,,,,
8/20/2019 18:54,Kollektiv Turmstrasse,Sorry I Am Late - Extended,69450,,,,,,,,,,,
8/20/2019 18:59,Ant Wan,Mama,209411,,,,,,,,,,,
8/20/2019 18:59,Frank Ocean,Forrest Gump,4181,,,,,,,,,,,
8/20/2019 18:59,Nina Simone,Baltimore,15336,,,,,,,,,,,
8/20/2019 19:04,Frank Ocean,Ivy,249191,,,,,,,,,,,
8/20/2019 19:09,Frank Ocean,Novacane,302346,,,,,,,,,,,
8/20/2019 19:16,Frank Ocean,Nikes,314075,,,,,,,,,,,
8/20/2019 19:19,Frank Ocean,Futura Free,146416,,,,,,,,,,,
8/20/2019 19:23,Frank Ocean,Lens,227654,,,,,,,,,,,
8/20/2019 19:24,Frank Ocean,Start,40314,,,,,,,,,,,
8/20/2019 19:27,Frank Ocean,Lost,234093,,,,,,,,,,,
8/20/2019 19:32,Frank Ocean,Self Control,249667,,,,,,,,,,,
8/20/2019 19:37,Frank Ocean,Nights,307151,,,,,,,,,,,
8/21/2019 6:24,Frank Ocean,Nikes,314075,,,,,,,,,,,
8/21/2019 6:28,Frank Ocean,Monks,200240,,,,,,,,,,,
8/21/2019 6:30,Frank Ocean,Pink Matter,4969,,,,,,,,,,,
8/21/2019 6:30,Frank Ocean,Good Guy,2879,,,,,,,,,,,
8/21/2019 6:30,Frank Ocean,Monks,4783,,,,,,,,,,,
8/21/2019 6:30,Frank Ocean,White,4806,,,,,,,,,,,
8/21/2019 6:30,Frank Ocean,White Ferrari,975,,,,,,,,,,,
8/21/2019 6:30,Frank Ocean,White Ferrari,114956,,,,,,,,,,,
8/21/2019 6:30,Frank Ocean,Thinkin Bout You,2020,,,,,,,,,,,
8/21/2019 6:30,Frank Ocean,Ivy,1996,,,,,,,,,,,
8/21/2019 6:30,Frank Ocean,Crack Rock,4690,,,,,,,,,,,
8/21/2019 6:30,Frank Ocean,Nikes,9334,,,,,,,,,,,
8/21/2019 6:30,Frank Ocean,Nights,2298,,,,,,,,,,,
8/21/2019 6:31,Frank Ocean,Fertilizer,27852,,,,,,,,,,,
